"Tag_Status","Building_block","Discipline","Cost_Code_COR","Tag_Number","Top_Tag","Skid_Ref","PO_Package_Number","System_Number","Equinor_Equipment_Category_1_4","Equipment_TypeDescription","Area","Sub_Area","Function_Area","L_or_TT_mm","W_or_ID_mm","H_or_TT_mm","Footprint_m2","Modification_Phase_Code","Modification_Construction_Code","Modification_Handling_Code","Allowance_prct","Net_Dry_Weight_kg","Gross_Dry_Weight_kg","Content_Weight_kg","Dry_CoGEast_mm","Dry_CoGNorth_mm","Dry_CoGElevation_mm","Price_Source","CostProj_currency","Cost_Date","Exch_rate","NOK","Pressure_1Barg","Pressure_2Barg","Temp_1degC","Temp_2degC","Flow_rate_1m3_or_hr","Flow_rate_2m3_or_hr","Capacity_m3","Heat_transfer_medium_type","SpeedRPM","Heat_Exchanged_per_Unit_kW","Shaft_Power_kW","Rated_Power_kW","Heat_Transfer_Surface_Aream2","Material_1","Material_2","Reference_or_Source","Referencedoc_dwg_PID_etc","RiskWeight_accuracy","RiskFootprint_accuracy","RiskDesign_basis","Risk_comments","Remarks","Iso_159264_Physical_RDL_","Iso_159264_Physical_Description_","Iso_159264_Activity_RDL_","Iso_159264_Activity_Description_","Posccesar_RDL_"
"DIFF",,"R","ERHA","A-24HA001",,,"ER004","24",,"Gas Treatment Inlet Cooler","Weather deck","AP500","AP500","17400","1520","2350","26.448",,,"PERM","0.15","24300","27945","12250","299579","384249","524000",,,,,,"88.54","88.36","71.4","20","6450","697",,"SW",,"19416",,,"1026.4","Titan shell & tubes","25%Cr Duplex Heads",,,,,,"risk of changing weight due to impact of design for unmanned (type of TEMA heat exchanger)","HTRI - BEM Titanium Shell & Tubes / Duplex Heads. Tube design pressure 157 bargSW In Tempt.= 11 ?CSW Out Tempt.= 35 ?C",,,,,
,,"R","ERHB","A-24HB001","NO","A-24XX001","ER010","24",,"Lean / Rich TEG Heat Exchanger 1 (Bloc)","Process deck","AP400","SKID TEG",,,,"0",,,"PERM",,,,"3260","0","0","0",,,,,,,,,,,,,,,,,,,"CS frame ","SS316 inlernally ",,,,,,,"Bloc Type Heat Exchanger",,,,,
,,"R","ERHB","A-24HB002 ","NO","A-24XX001","ER010","24",,"Lean / Rich TEG Heat Exchanger 2 (Gasketed Plate)","Process deck","AP400","SKID TEG",,,,,,,"PERM",,,,"30","0","0","0",,,,,,,,,,,,,,,,,,,"CS frame ","Titanium plates",,,,,,,"Gasketed Plate Heat Exchanger",,,,,
,,"R","ERHB","A-24HB003 ","NO","A-24XX001","ER010","24",,"Lean TEG Cooler ","Process deck","AP400","SKID TEG",,,,,,,"PERM",,,,"30","0","0","0",,,,,,,,,,,,,,,,,,,"CS frame ","Titanium plates",,,,,,,"Gasketed Plate Heat Exchanger",,,,,
,,"R","ERHB","A-24HB004","NO","A-24XX001","ER010","24",,"Overhead Condenser (Bloc type hx)","Process deck","AP400","SKID TEG",,,,,,,"PERM",,,,"50","0","0","0",,,,,,,,,,,,,,,,,,,"CS frame ","SS316 inlernally ",,,,,,,"Bloc type hx ",,,,,
,,"R","ERHI","A-24HI001","NO","A-24XX001","ER010","24",,"TEG Reboiler","Process deck","AP400","SKID TEG",,,,,,,"PERM",,,,"5700","0","0","0",,,,,,,,,,,,,,,,,,,"22Cr Duplex",,,,,,,,,,,,,
,,"R","ERHX","A-24HX001","NO","A-24XX001","ER010","24",,"TEG Reflux Condenser","Process deck","AP400","SKID TEG",,,,,,,"PERM",,,,"50","0","0","0",,,,,,,,,,,,,,,"60",,,,"22Cr Duplex",,,,,,,,"Installed on top of still column",,,,,
,,"R","ERKF","A-24KF001","NO","A-24XX001","ER010","24",,"Stripping Gas Recycle Blower","Process deck","AP400","SKID TEG",,,,,,,"PERM",,,,"10","0","0","0",,,,,,,,,,,,,,,,,,,"SS316L ",,,,,,,,,,,,,
,,"R","ERPA","A-24PA001A","YES",,"ER018","24",,"G2P TEG Circulation Pump A","Cellar deck","AP200","AP200","2000","1000","1000","2",,,"PERM","0.15","1220","1403",,"312350","389850","500110",,,,,,,,,,"5",,,,,,,,,"22Cr Duplex",,,,,,,,"PG Flow solution / Sundstrand / Magdrive sealless pump - Rated power 30 kW",,,,,
,,"E","ERPA","A-24PA001A-M01","NO","A-24PA001A","ER018","24",,"G2P TEG Circulation Pump A Motor","Cellar deck","AP200","SKID","0","0","0","0",,,"PERM",,,"0",,"0","0","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"R","ERPA","A-24PA001B","YES",,"ER018","24",,"G2P TEG Circulation Pump B ","Cellar deck","AP200","AP200","2000","1000","1000","2",,,"PERM","0.15","1220","1403",,"312350","392850","500110",,,,,,,,,,"5",,,,,,,,,"22Cr Duplex",,,,,,,,"PG Flow Solution / Sundstrand / Magdrive sealless pump - Rated power 30 kW",,,,,
,,"E","ERPA","A-24PA001B-M01","NO","A-24PA001B","ER018","24",,"G2P TEG Circulation Pump B Motor","Cellar deck","AP200","SKID","0","0","0","0",,,"PERM",,,"0",,"0","0","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"R","ERPB","A-24PB001A","NO","A-24XX001","ER010","24",,"TEG Circulation Pump","Process deck","AP400","SKID TEG",,,,,,,"PERM",,,,"110","0","0","0",,,,,,,,,,,,,,,,"15",,,"22Cr Duplex",,,,,,,,"Plunger pump skid with electric drive and resonator",,,,,
,,"R","ERPB","A-24PB001B","NO","A-24XX001","ER010","24",,"TEG Circulation Pump","Process deck","AP400","SKID TEG",,,,,,,"PERM",,,,"110","0","0","0",,,,,,,,,,,,,,,,"15",,,"22Cr Duplex",,,,,,,,"Plunger pump skid with electric drive and resonator",,,,,
,,"R","ERPX","A-24PX001","NO ","A-24XX001","ER010","24",,"TEG Drain Tank Pump ","Process deck","AP400","SKID TEG",,,,,,,"PERM",,,,,"0","0","0",,,,,,,,,,,,,,,,,,,"22Cr Duplex",,,,,,,,"Installed in TEG Drain Tank",,,,,
,,"R","ERTB","A-24TB001","NO","A-24XX001","ER010","24",,"TEG Drain Tank ( Indeck atmospheric)","Process deck","AP400","SKID TEG",,,,,,,"PERM",,,,,"0","0","0",,,,,,,,,,,,,,,,,,,"22Cr Duplex",,,,,,,,,,,,,
,,"R","ERVD","A-24VD001","NO","A-24XX001","ER010","24",,"TEG Flash Drum ","Process deck","AP400","SKID TEG",,,,,,,"PERM",,,,"2700","0","0","0",,,,,,,,,,,,,,,,,,,"22Cr Duplex",,,,,,,,,,,,,
,,"R","ERVE","A-24VE001","NO","A-24XX001","ER010","24",,"TEG Stripping Column","Process deck","AP400","SKID TEG",,,,,,,"PERM",,,,"50","0","0","0",,,,,,,,,,,,,,,,,,,"22Cr Duplex",,,,,,,,,,,,,
,,"R","ERVE","A-24VE002","NO","A-24XX001","ER010","24",,"TEG Still Column ","Process deck","AP400","SKID TEG",,,,,,,"PERM",,,,"20","0","0","0",,,,,,,,,,,,,,,,,,,"22Cr Duplex",,,,,,,,"Installed on flange on top of reboiler vessel ",,,,,
"DIFF",,"R","ERVG","A-24VG001",,,"ER003","24",,"G2P Scrubber 1","Mezzanine deck","AP300","AP300,AP400","-","1700","4200","2.89",,,"PERM","0.15","28700","33005",,"310150","383250","509790",,,,,,"157","FV","-46","110",,,,,,,,,,"P500QL2 + Alloy 625 w.o.","22%Cr Duplex (S31803)",,,,,,,"Based on SLB proposal ",,,,,
"DIFF",,"R","ERVG","A-24VG002",,,"ER003","24",,"G2P Scrubber 2","Mezzanine deck","AP300","AP300,AP400","-","2500","4400","6.25",,,"PERM","0.15","53300","61295",,"310150","387500","509790",,,,,,"157","FV","-46","110",,,,,,,,,,"P500QL2 + Alloy 625 w.o.","22%Cr Duplex (S31803)",,,,,,"FDR requirement  for Liquid carry over /K value  ","Based on SLB proposal ",,,,,
,,"R","ERVG","A-24VG003","NO","A-24XX001","ER010","24",,"Overhead Reciever ","Process deck","AP400","SKID TEG",,,,,,,"PERM",,,,"150","0","0","0",,,,,,,,,,,,,,,,,,,"22Cr Duplex",,,,,,,,,,,,,
