"Tag_Status","Building_block","Discipline","Cost_Code_COR","Tag_Number","Top_Tag","Skid_Ref","PO_Package_Number","System_Number","Equinor_Equipment_Category_1_4","Equipment_Type_Description","Area","Sub_Area","Function_Area","L_or_TT_mm","W_or_ID_mm","H_or_TT_mm","Footprint_m2","Modification_Phase_Code","Modification_Construction_Code","Modification_Handling_Code","Allowance_pct","Net_Dry_Weight_kg","Gross_Dry_Weight_kg","Content_Weight_kg","Dry_CoG_East_mm","Dry_CoG_North_mm","Dry_CoG_Elevation_mm","Price_Source","Cost_Proj_currency","Cost_Date","Exch_rate","NOK","Pressure_1_barg","Pressure_2_barg","Temp_1_degC","Temp_2_degC","Flow_rate_1_m3_per_hr","Flow_rate_2_m3_per_hr","Capacity_m3","Heat_transfer_medium_type","Speed_RPM","Heat_Exchanged_per_Unit_kW","Shaft_Power_kW","Rated_Power_kW","Heat_Transfer_Surface_Area_m2","Material_1","Material_2","Reference_or_Source","Reference_doc_dwg_PID_etc","Risk_Weight_accuracy","Risk_Footprint_accuracy","Risk_Design_basis","Risk_comments","Remarks","CLASS_OF_ACTIVITY","CLASS_OF_FUNCTIONAL_OBJECT","CLASS_OF_INANIMATE_PHYSICAL_OBJECT"
,,"R","ERHB","A-24HB002","NO","A-24XX001","ER010",24.0,,"Lean / Rich TEG Heat Exchanger 2 (Gasketed Plate)","Process deck","AP400","SKID TEG",,,,,,,"PERM",,,,30.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,"CS frame","Titanium plates",,,,,,,"Gasketed Plate Heat Exchanger",,,
,,"R","ERHB","A-24HB003","NO","A-24XX001","ER010",24.0,,"Lean TEG Cooler","Process deck","AP400","SKID TEG",,,,,,,"PERM",,,,30.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,"CS frame","Titanium plates",,,,,,,"Gasketed Plate Heat Exchanger",,,
,,"R","ERHB","A-24HB004","NO","A-24XX001","ER010",24.0,,"Overhead Condenser (Bloc type hx)","Process deck","AP400","SKID TEG",,,,,,,"PERM",,,,50.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,"CS frame","SS316 inlernally",,,,,,,"Bloc type hx",,,
,,"R","ERHI","A-24HI001","NO","A-24XX001","ER010",24.0,,"TEG Reboiler","Process deck","AP400","SKID TEG",,,,,,,"PERM",,,,5700.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,"22Cr Duplex",,,,,,,,,,,
,,"R","ERHX","A-24HX001","NO","A-24XX001","ER010",24.0,,"TEG Reflux Condenser","Process deck","AP400","SKID TEG",,,,,,,"PERM",,,,50.0,0.0,0.0,0.0,,,,,,,,,,,,,,,60.0,,,,"22Cr Duplex",,,,,,,,"Installed on top of still column",,,
,,"R","ERKF","A-24KF001","NO","A-24XX001","ER010",24.0,,"Stripping Gas Recycle Blower","Process deck","AP400","SKID TEG",,,,,,,"PERM",,,,10.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,"SS316L",,,,,,,,,,,
,,"R","ERPA","A-24PA001A","YES",,"ER018",24.0,,"G2P TEG Circulation Pump A","Cellar deck","AP200","AP200",2000.0,1000.0,1000.0,2.0,,,"PERM",0.15,1220.0,1403.0,,312350.0,389850.0,500110.0,,,,,,,,,,5.0,,,,,,,,,"22Cr Duplex",,,,,,,,"PG Flow solution / Sundstrand / Magdrive sealless pump - Rated power 30 kW",,,"http://data.posccaesar.org/rdl/RDS14196773"
,,"E","ERPA","A-24PA001A-M01","NO","A-24PA001A","ER018",24.0,,"G2P TEG Circulation Pump A Motor","Cellar deck","AP200","SKID",0.0,0.0,0.0,0.0,,,"PERM",,,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"R","ERPA","A-24PA001B","YES",,"ER018",24.0,,"G2P TEG Circulation Pump B","Cellar deck","AP200","AP200",2000.0,1000.0,1000.0,2.0,,,"PERM",0.15,1220.0,1403.0,,312350.0,392850.0,500110.0,,,,,,,,,,5.0,,,,,,,,,"22Cr Duplex",,,,,,,,"PG Flow Solution / Sundstrand / Magdrive sealless pump - Rated power 30 kW",,,"http://data.posccaesar.org/rdl/RDS14196773"
,,"E","ERPA","A-24PA001B-M01","NO","A-24PA001B","ER018",24.0,,"G2P TEG Circulation Pump B Motor","Cellar deck","AP200","SKID",0.0,0.0,0.0,0.0,,,"PERM",,,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"R","ERPB","A-24PB001A","NO","A-24XX001","ER010",24.0,,"TEG Circulation Pump","Process deck","AP400","SKID TEG",,,,,,,"PERM",,,,110.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,15.0,,,"22Cr Duplex",,,,,,,,"Plunger pump skid with electric drive and resonator",,,
,,"R","ERPB","A-24PB001B","NO","A-24XX001","ER010",24.0,,"TEG Circulation Pump","Process deck","AP400","SKID TEG",,,,,,,"PERM",,,,110.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,15.0,,,"22Cr Duplex",,,,,,,,"Plunger pump skid with electric drive and resonator",,,
,,"R","ERPX","A-24PX001","NO","A-24XX001","ER010",24.0,,"TEG Drain Tank Pump","Process deck","AP400","SKID TEG",,,,,,,"PERM",,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,"22Cr Duplex",,,,,,,,"Installed in TEG Drain Tank",,,
,,"R","ERTB","A-24TB001","NO","A-24XX001","ER010",24.0,,"TEG Drain Tank ( Indeck atmospheric)","Process deck","AP400","SKID TEG",,,,,,,"PERM",,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,"22Cr Duplex",,,,,,,,,,,
,,"R","ERVD","A-24VD001","NO","A-24XX001","ER010",24.0,,"TEG Flash Drum","Process deck","AP400","SKID TEG",,,,,,,"PERM",,,,2700.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,"22Cr Duplex",,,,,,,,,,,
,,"R","ERVE","A-24VE001","NO","A-24XX001","ER010",24.0,,"TEG Stripping Column","Process deck","AP400","SKID TEG",,,,,,,"PERM",,,,50.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,"22Cr Duplex",,,,,,,,,,,
,,"R","ERVE","A-24VE002","NO","A-24XX001","ER010",24.0,,"TEG Still Column","Process deck","AP400","SKID TEG",,,,,,,"PERM",,,,20.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,"22Cr Duplex",,,,,,,,"Installed on flange on top of reboiler vessel",,,
